 ID do carro  | Horario de Chegada | Tempo de Servico 
1 | 18 | 20
2 | 18 | 18
3 | 29 | 22
4 | 18 | 22
5 | 25 | 20
6 | 23 | 19
7 | 22 | 19
8 | 24 | 22
9 | 20 | 11
10 | 14 | 31
11 | 20 | 17
12 | 27 | 25
13 | 24 | 22
14 | 21 | 16
15 | 21 | 16
16 | 17 | 19
17 | 11 | 19
18 | 17 | 20
19 | 20 | 15
20 | 11 | 15
21 | 19 | 20
22 | 20 | 16
23 | 18 | 18
24 | 17 | 15
25 | 14 | 25
26 | 24 | 17
27 | 22 | 19
28 | 21 | 22
29 | 31 | 13
30 | 19 | 25
31 | 19 | 19
32 | 20 | 12
33 | 26 | 20
34 | 20 | 14
35 | 24 | 19
36 | 16 | 19
37 | 23 | 20
38 | 13 | 19
39 | 27 | 20
40 | 15 | 15
41 | 26 | 20
42 | 22 | 24
43 | 15 | 19
44 | 17 | 18
45 | 21 | 19
46 | 22 | 19
47 | 15 | 16
48 | 29 | 15
49 | 12 | 11
50 | 12 | 17
51 | 15 | 15
52 | 26 | 17
53 | 16 | 13
54 | 22 | 16
55 | 14 | 20
56 | 19 | 24
57 | 24 | 17
58 | 19 | 16
59 | 12 | 11
60 | 17 | 24
61 | 22 | 27
62 | 27 | 23
63 | 11 | 22
64 | 22 | 17
65 | 24 | 27
66 | 32 | 21
67 | 22 | 16
68 | 21 | 12
69 | 23 | 24
70 | 17 | 18
71 | 23 | 23
72 | 26 | 17
73 | 21 | 14
74 | 20 | 22
75 | 18 | 21
76 | 14 | 21
77 | 15 | 19
78 | 19 | 23
79 | 23 | 13
80 | 20 | 16
81 | 16 | 13
82 | 24 | 24
83 | 24 | 10
84 | 20 | 19
85 | 21 | 23
86 | 12 | 33
87 | 19 | 17
88 | 30 | 19
89 | 29 | 16
90 | 13 | 23
91 | 11 | 21
92 | 21 | 19
93 | 24 | 14
94 | 26 | 19
95 | 23 | 19
96 | 23 | 21
97 | 18 | 19
98 | 21 | 17
99 | 31 | 17
100 | 21 | 14
101 | 24 | 20
102 | 15 | 24
103 | 16 | 19
104 | 21 | 26
105 | 19 | 23
106 | 19 | 31
107 | 18 | 15
108 | 21 | 16
109 | 14 | 10
110 | 17 | 18
111 | 21 | 23
112 | 19 | 29
113 | 29 | 21
114 | 15 | 16
115 | 23 | 8
116 | 21 | 17
117 | 18 | 17
118 | 16 | 13
119 | 22 | 14
120 | 21 | 22
121 | 28 | 26
122 | 16 | 17
123 | 25 | 24
124 | 24 | 20
125 | 12 | 22
126 | 21 | 14
127 | 15 | 23
128 | 24 | 16
129 | 23 | 14
130 | 17 | 21
131 | 14 | 22
132 | 25 | 18
133 | 35 | 21
134 | 17 | 22
135 | 20 | 16
136 | 21 | 17
137 | 15 | 20
138 | 22 | 14
139 | 22 | 18
140 | 24 | 19
141 | 12 | 23
142 | 19 | 16
143 | 27 | 27
144 | 29 | 17
145 | 20 | 23
146 | 20 | 18
147 | 26 | 17
148 | 18 | 14
149 | 23 | 22
150 | 25 | 16
151 | 14 | 18
152 | 20 | 20
153 | 22 | 17
154 | 23 | 18
155 | 24 | 24
156 | 18 | 23
157 | 15 | 29
158 | 18 | 19
159 | 16 | 18
160 | 21 | 22
161 | 17 | 24
162 | 22 | 26
163 | 19 | 17
164 | 22 | 29
165 | 20 | 14
166 | 22 | 25
167 | 15 | 15
168 | 21 | 17
169 | 30 | 25
170 | 12 | 22
171 | 12 | 19
172 | 11 | 18
173 | 15 | 13
174 | 13 | 16
175 | 18 | 14
176 | 23 | 22
177 | 23 | 21
178 | 23 | 18
179 | 21 | 26
180 | 18 | 26
181 | 16 | 16
182 | 21 | 25
183 | 19 | 22
184 | 23 | 24
185 | 26 | 26
186 | 15 | 24
187 | 25 | 15
188 | 24 | 22
189 | 16 | 14
190 | 18 | 29
191 | 22 | 21
192 | 15 | 18
193 | 17 | 20
194 | 23 | 22
195 | 18 | 21
196 | 21 | 23
197 | 16 | 16
198 | 15 | 22
199 | 25 | 22
200 | 15 | 19
201 | 15 | 14
202 | 16 | 23
203 | 25 | 30
204 | 16 | 26
205 | 22 | 19
206 | 26 | 23
207 | 17 | 16
208 | 20 | 21
209 | 14 | 30
210 | 27 | 23
211 | 19 | 16
212 | 18 | 16
213 | 22 | 24
214 | 20 | 20
215 | 12 | 22
216 | 19 | 28
217 | 15 | 28
218 | 25 | 22
219 | 26 | 20
220 | 10 | 21
221 | 22 | 21
222 | 15 | 20
223 | 25 | 16
224 | 13 | 17
225 | 20 | 19
226 | 25 | 19
227 | 25 | 23
228 | 12 | 21
229 | 19 | 17
230 | 23 | 21
231 | 15 | 18
232 | 18 | 24
233 | 27 | 20
234 | 21 | 20
235 | 21 | 15
236 | 13 | 22
237 | 18 | 27
238 | 21 | 20
239 | 18 | 13
240 | 23 | 13
241 | 16 | 19
242 | 25 | 20
243 | 19 | 16
244 | 16 | 14
245 | 21 | 18
246 | 23 | 15
247 | 25 | 14
248 | 22 | 24
249 | 24 | 15
250 | 18 | 26
251 | 26 | 11
252 | 19 | 12
253 | 24 | 11
254 | 21 | 21
255 | 20 | 18
256 | 19 | 24
257 | 18 | 12
258 | 28 | 19
259 | 17 | 22
260 | 12 | 25
261 | 17 | 21
262 | 27 | 21
263 | 15 | 15
264 | 20 | 17
265 | 22 | 20
266 | 19 | 19
267 | 15 | 20
268 | 19 | 16
269 | 25 | 18
270 | 18 | 15
271 | 16 | 17
272 | 22 | 22
273 | 21 | 27
274 | 16 | 14
275 | 25 | 23
276 | 14 | 20
277 | 19 | 16
278 | 20 | 22
279 | 16 | 16
